,X,Y,logger,Long_name,fitnah_ss_50,fitnah_ss_250,fitnah_sv_50,fitnah_sv_250,fitnah_temp_50,fitnah_temp_250,dem_50,dem_250,20_50,20_250,14_50,14_250,9_50,9_250,22_50,22_250,24_50,24_250,25_50,25_250,lon,lat
10,2586192.80543981,1222205.11009077,235,Altersheim-Reid,0.12578598,0.15108356,0.1933346,0.23184256,0.57578886,0.51906276,0.09029240081923513,0.08134152825230787,0.08264462809917356,0.24868913857677902,0.0,0.0,0.4462809917355372,0.4783974862529458,0.11570247933884298,0.17146684527796383,0.09090909090909091,0.20418848167539266,0.256198347107438,0.2629757785467128,7.256578930803547,47.15067194726373
11,2587851.8054523,1223128.01009083,225,Swisstennis,0.73933035,0.48855895,0.71210206,0.41195863,0.85566175,0.64006007,0.018019687604913893,0.03688306686001864,0.32231404958677684,0.43595505617977526,0.0,0.00038446751249519417,0.05785123966942149,0.21327572663000785,0.5950413223140496,0.47890154052243805,0.03409090909090909,0.17801047120418848,0.0,0.24644367550941945,7.2784280163168065,47.159005975110944
12,2598212.21107792,1225339.17014795,207,Swiss Meteo Reference,,,,,0.5558582,0.5155545,0.3636151176946943,0.33250256259624805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975206611570248,0.25990003844675125,7.415043620428569,47.17900519328959
13,2588914.00491459,1223573.88408117,237,Rolex,0.51101583,0.46305004,0.4923226,0.33742142,0.7634748,0.6348393,0.012750844229261347,0.011514881158988239,0.2644628099173554,0.7303370786516854,0.0,0.0,0.2975206611570248,0.27336999214454044,0.4049586776859504,0.47488278633623576,0.011363636363636364,0.10732984293193717,0.024793388429752067,0.06920415224913495,7.292424384479668,47.16303529232208
14,2587030.50544646,1222540.76009019,236,Taubenloch,0.71995157,0.3055356,0.7452332,0.4200303,0.86161834,0.6317985,0.022915345342054753,0.035478162943599845,0.3140495867768595,0.49887640449438203,0.14049586776859505,0.027297193387158785,0.01652892561983471,0.28790259230164966,0.5041322314049587,0.44876088412592097,0.03409090909090909,0.22774869109947643,0.0,0.14225297962322184,7.267614387206042,47.15370810175957
15,2587298.75490466,1222251.3840793,224,Bözingen,0.20090318,0.16207483,0.282311,0.33256876,0.6407656,0.55846715,0.019260305446623813,0.019196951602546922,0.17355371900826447,0.4696629213483146,0.1487603305785124,0.03729334871203383,0.3305785123966942,0.43205027494108406,0.2066115702479339,0.32886805090421967,0.03409090909090909,0.15706806282722513,0.11570247933884298,0.08688965782391388,7.271159682945557,47.15111046676412
16,2588901.70491557,1223116.25907924,234,Bözingenfeld,0.70635474,0.57224834,0.60516834,0.40439558,0.8497773,0.7222513,0.01417003185591317,0.015620054919868398,0.32231404958677684,0.5700374531835206,0.0,0.0015378700499807767,0.04132231404958678,0.15318146111547526,0.48760330578512395,0.6282652377762894,0.045454545454545456,0.1099476439790576,0.03305785123966942,0.14340638216070742,7.292273509911332,47.15891885527405
17,2586244.5087159,1219444.71612385,223,Altersheim-erlacher,0.23661926,0.24892585,0.42626017,0.38160554,0.650731,0.6142098,0.007453264720259822,0.006629311747190106,0.30578512396694213,0.48314606741573035,0.0,0.0,0.3140495867768595,0.33110761979575803,0.2396694214876033,0.5291359678499665,0.056818181818181816,0.14921465968586387,0.09917355371900827,0.0915032679738562,7.2573452439864825,47.1258438271483
18,2586920.19108163,1219731.23086503,240,Längholz-replacement,,0.09387864,,0.2459984,0.7147622,0.57117075,0.03817536983103826,0.02878981334734017,0.0,0.16329588014981272,0.0,0.0007689350249903883,0.0,0.3110761979575805,0.0,0.17950435365036838,0.0,0.2905759162303665,1.0,0.46520569011918494,7.26624170539283,47.128434760378624
19,2586918.50109055,1219738.00201541,214,Längholz,,0.09629814,,0.25134543,0.71609163,0.57145417,0.03761664933843144,0.02856206101766903,0.0,0.16329588014981272,0.0,0.0007689350249903883,0.0,0.312254516889238,0.0,0.18620227729403885,0.0,0.2879581151832461,1.0,0.4605920799692426,7.266219234607871,47.12849563209389
